sent_at,flask_ms,mqtt_raw_ms,mqtt_norm_ms,live_store_ms,influxdb_ms
1781236602.3585238,52.00958251953125,45.07017135620117,87.24093437194824,222.39041328430176,183.3348274230957
1781236603.0811272,33.91695022583008,30.164480209350586,37.92977333068848,99.78628158569336,166.55421257019043
1781236603.7483072,10.021686553955078,11.03067398071289,15.241384506225586,111.31620407104492,209.2745304107666
1781236604.4580672,5.399465560913086,4.891633987426758,9.319543838500977,45.32885551452637,90.50464630126953
1781236605.04925,9.419918060302734,10.029792785644531,26.362895965576172,223.77514839172363,184.53049659729004
1781236605.7735674,5.565404891967773,4.579782485961914,20.203828811645508,209.90514755249023,171.32210731506348
1781236606.484003,24.327993392944336,23.795366287231445,31.2192440032959,77.07643508911133,127.70795822143555
1781236607.112735,35.701751708984375,33.45680236816406,40.2069091796875,129.17757034301758,193.54510307312012
1781236607.807363,19.368886947631836,18.772363662719727,22.754669189453125,81.11143112182617,144.758939743042
1781236608.4529126,9.26351547241211,6.587982177734375,22.74012565612793,300.52757263183594,224.27892684936523
1781236609.254728,7.901191711425781,8.92329216003418,17.617464065551758,55.82785606384277,113.30842971801758
1781236609.8690476,22.300004959106445,21.74210548400879,31.352758407592773,72.71599769592285,124.59135055541992
1781236610.4939725,32.768964767456055,32.14859962463379,43.69807243347168,107.05804824829102,170.28284072875977
1781236611.1654158,10.73908805847168,9.15074348449707,14.75381851196289,46.76365852355957,75.04820823669434
1781236611.741077,9.755373001098633,9.197711944580078,18.072128295898438,77.1934986114502,143.0807113647461
1781236612.3852296,25.786638259887695,25.07758140563965,38.14983367919922,154.36434745788574,126.86634063720703
1781236613.040341,9.272336959838867,6.013631820678711,14.421939849853516,59.39340591430664,113.28458786010742
1781236613.6538649,16.634702682495117,16.015291213989258,25.41518211364746,160.84551811218262,135.6501579284668
1781236614.3153918,25.09927749633789,24.419069290161133,33.553123474121094,73.62699508666992,118.58820915222168
1781236614.934692,26.072978973388672,25.45762062072754,31.561613082885742,68.53580474853516,124.73797798156738
1781236615.5602372,20.810604095458984,20.196914672851562,26.19194984436035,61.86532974243164,106.08291625976562
1781236616.166715,17.241239547729492,16.666412353515625,24.637699127197266,71.32148742675781,115.65613746643066
1781236616.783039,5.437612533569336,4.683494567871094,12.529134750366211,55.62901496887207,96.06671333312988
1781236617.3802807,20.23458480834961,18.80502700805664,27.764081954956055,70.65153121948242,131.8802833557129
1781236618.0122597,19.23346519470215,19.839763641357422,24.698972702026367,66.21456146240234,104.1107177734375
1781236618.6173596,10.672330856323242,9.019851684570312,28.226613998413086,115.03839492797852,96.21071815490723
1781236619.2330217,7.938861846923828,7.328271865844727,13.112545013427734,53.644657135009766,102.97656059265137
1781236619.8365824,9.070873260498047,8.457422256469727,26.104211807250977,56.801557540893555,98.51217269897461
1781236620.4364474,9.706497192382812,10.390043258666992,16.904354095458984,74.64933395385742,153.01084518432617
1781236621.090396,22.978544235229492,22.356748580932617,36.086320877075195,73.9588737487793,136.8546485900879
1781236621.7281296,21.033525466918945,21.56233787536621,27.1756649017334,68.82190704345703,105.47089576721191
1781236622.3350713,9.189367294311523,8.61215591430664,14.166831970214844,50.60243606567383,100.23331642150879
1781236622.9359453,30.50684928894043,29.488325119018555,37.353515625,75.71911811828613,118.49665641784668
1781236623.5546968,32.19771385192871,32.19771385192871,52.63113975524902,88.78016471862793,145.92313766479492
1781236624.2012854,21.216630935668945,20.528793334960938,25.440692901611328,72.33834266662598,118.93844604492188
1781236624.8205848,19.931316375732422,19.304990768432617,22.996187210083008,79.48803901672363,115.5858039855957
1781236625.437082,28.522491455078125,27.92811393737793,32.84335136413574,99.7011661529541,138.40365409851074
1781236626.0759265,10.807275772094727,10.186195373535156,13.968467712402344,65.9494400024414,100.6779670715332
1781236626.6775045,10.162353515625,9.746313095092773,13.763904571533203,62.978506088256836,128.9958953857422
1781236627.3068407,13.030767440795898,10.022640228271484,15.563249588012695,78.35245132446289,121.78230285644531
1781236627.9294546,24.336814880371094,24.336814880371094,28.412342071533203,73.1649398803711,135.76555252075195
1781236628.565793,20.752429962158203,20.752429962158203,25.106191635131836,89.02716636657715,125.65827369689941
1781236629.1925259,32.44519233703613,32.44519233703613,38.187265396118164,89.09368515014648,125.71930885314941
1781236629.819162,29.52432632446289,28.880834579467773,33.76126289367676,88.72652053833008,138.1552219390869
1781236630.4576046,27.27961540222168,24.732589721679688,30.76314926147461,81.59756660461426,113.28768730163574
1781236631.071729,10.216236114501953,10.216236114501953,24.97243881225586,71.73347473144531,102.72645950317383
1781236631.6754847,38.152456283569336,37.56904602050781,41.910648345947266,103.15942764282227,156.8441390991211
1781236632.33253,19.79827880859375,19.1802978515625,22.267818450927734,75.44636726379395,123.84414672851562
1781236632.9570527,32.84168243408203,32.2413444519043,39.040327072143555,103.90782356262207,192.0161247253418
1781236633.6503365,21.89183235168457,21.89183235168457,30.133962631225586,69.4129467010498,124.85122680664062
